ano_mes,setor,ret_setor,n_empresas,data
2012-06,"Petróleo, Gás e Biocombustíveis",-0.1542731942359175,8,2012-06-30
2012-06,Saúde,0.022793506123978586,13,2012-06-30
2012-06,Tecnologia da Informação,-0.044988864706071795,5,2012-06-30
2012-06,Utilidade Pública,0.044640109067901126,33,2012-06-30
2012-07,Bens Industriais,0.013316347960512656,39,2012-07-31
2012-07,Comunicações,-0.01813670159164832,4,2012-07-31
2012-07,Consumo Cíclico,-0.005486781957045642,65,2012-07-31
2012-07,Consumo não Cíclico,0.016819914444214053,14,2012-07-31
2012-07,Financeiro,0.02062511159953903,48,2012-07-31
2012-07,Materiais Básicos,-0.000989300813283332,28,2012-07-31
2012-07,Outros,-0.09117009442041402,2,2012-07-31
2012-07,"Petróleo, Gás e Biocombustíveis",0.04491949294530234,8,2012-07-31
2012-07,Saúde,0.011481021282132183,13,2012-07-31
2012-07,Tecnologia da Informação,-0.051909536827293844,5,2012-07-31
2012-07,Utilidade Pública,-0.013228975344878059,33,2012-07-31
2012-08,Bens Industriais,0.022036785224299086,39,2012-08-31
2012-08,Comunicações,-0.1196524292979923,4,2012-08-31
2012-08,Consumo Cíclico,0.05311848538771862,62,2012-08-31
2012-08,Consumo não Cíclico,0.03366478799748048,14,2012-08-31
2012-08,Financeiro,0.03510068465307263,51,2012-08-31
2012-08,Materiais Básicos,-0.019800466755480275,27,2012-08-31
2012-08,Outros,-0.06962171764331715,2,2012-08-31
2012-08,"Petróleo, Gás e Biocombustíveis",0.02836993450628708,8,2012-08-31
2012-08,Saúde,0.029212601631896467,12,2012-08-31
2012-08,Tecnologia da Informação,0.006034028693213811,5,2012-08-31
2012-08,Utilidade Pública,0.0013672699100424537,35,2012-08-31
2012-09,Bens Industriais,0.03248136447292691,37,2012-09-30
2012-09,Comunicações,-0.03327573097248582,4,2012-09-30
2012-09,Consumo Cíclico,0.039948236120978094,62,2012-09-30
2012-09,Consumo não Cíclico,0.05491140421925979,14,2012-09-30
2012-09,Financeiro,0.025569495076784552,50,2012-09-30
2012-09,Materiais Básicos,0.021953649081964517,28,2012-09-30
2012-09,Outros,0.42117096334986015,2,2012-09-30
2012-09,"Petróleo, Gás e Biocombustíveis",0.05375500748301604,8,2012-09-30
2012-09,Saúde,0.05535337627930477,13,2012-09-30
2012-09,Tecnologia da Informação,0.04979562409728833,5,2012-09-30
2012-09,Utilidade Pública,-0.05911744892376735,30,2012-09-30
2012-10,Bens Industriais,-0.011070627522509282,38,2012-10-31
2012-10,Comunicações,0.06903897500432138,4,2012-10-31
2012-10,Consumo Cíclico,0.0028069587408391826,64,2012-10-31
2012-10,Consumo não Cíclico,-0.016396536901282125,15,2012-10-31
2012-10,Financeiro,-0.005124569358184228,49,2012-10-31
2012-10,Materiais Básicos,-0.0376357244994257,27,2012-10-31
2012-10,Outros,-0.34164744205846687,2,2012-10-31
2012-10,"Petróleo, Gás e Biocombustíveis",-0.17820318047202005,8,2012-10-31
2012-10,Saúde,0.029689614275132798,12,2012-10-31
2012-10,Tecnologia da Informação,0.018573849493158524,5,2012-10-31
2012-10,Utilidade Pública,-0.03259312913491602,34,2012-10-31
2012-11,Bens Industriais,-0.02229671779061661,38,2012-11-30
2012-11,Comunicações,-0.02224421345076044,4,2012-11-30
2012-11,Consumo Cíclico,-0.011085232430083681,64,2012-11-30
2012-11,Consumo não Cíclico,0.009670994120869041,14,2012-11-30
2012-11,Financeiro,0.008701819394932565,49,2012-11-30
2012-11,Materiais Básicos,-0.0067510749535122086,27,2012-11-30
2012-11,Outros,-0.040839015507133536,2,2012-11-30
2012-11,"Petróleo, Gás e Biocombustíveis",-0.09529592353052352,8,2012-11-30
2012-11,Saúde,0.008336885323001086,12,2012-11-30
2012-11,Tecnologia da Informação,0.014559319491572298,5,2012-11-30
2012-11,Utilidade Pública,-0.04590739684316157,31,2012-11-30
2012-12,Bens Industriais,0.033424691646123585,39,2012-12-31
2012-12,Comunicações,0.07877819593467211,4,2012-12-31
2012-12,Consumo Cíclico,0.008203435075188115,64,2012-12-31
2012-12,Consumo não Cíclico,0.01573792668427819,15,2012-12-31
2012-12,Financeiro,0.03775306523301935,48,2012-12-31
2012-12,Materiais Básicos,0.03986985699925736,29,2012-12-31
2012-12,Outros,-0.06828776750287546,2,2012-12-31
2012-12,"Petróleo, Gás e Biocombustíveis",0.0049421271905271125,8,2012-12-31
2012-12,Saúde,0.10797478432680248,14,2012-12-31
2012-12,Tecnologia da Informação,0.0061402106363993795,5,2012-12-31
2012-12,Utilidade Pública,-0.06129901867676244,35,2012-12-31
2013-01,Bens Industriais,0.021011692762582374,41,2013-01-31
2013-01,Comunicações,0.012076714707046854,4,2013-01-31
2013-01,Consumo Cíclico,0.008623820417465023,63,2013-01-31
2013-01,Consumo não Cíclico,-0.00031416741975523466,14,2013-01-31
2013-01,Financeiro,0.010746043386336418,48,2013-01-31
2013-01,Materiais Básicos,0.00628605596604301,28,2013-01-31
2013-01,Outros,0.2674615876725256,2,2013-01-31
2013-01,"Petróleo, Gás e Biocombustíveis",-0.006533459225876864,8,2013-01-31
2013-01,Saúde,0.024401416992207294,14,2013-01-31
2013-01,Tecnologia da Informação,0.06108195473608875,5,2013-01-31
2013-01,Utilidade Pública,0.07200570917089093,36,2013-01-31
2013-02,Bens Industriais,0.003022956114915848,37,2013-02-28
2013-02,Comunicações,-0.053583679886706814,4,2013-02-28
2013-02,Consumo Cíclico,0.018041695627377334,63,2013-02-28
2013-02,Consumo não Cíclico,0.005500092675334861,15,2013-02-28
2013-02,Financeiro,0.022827844058583163,48,2013-02-28
2013-02,Materiais Básicos,-0.028912995036177367,28,2013-02-28
2013-02,Outros,-0.2674615876725256,2,2013-02-28
2013-02,"Petróleo, Gás e Biocombustíveis",-0.04678776834729664,8,2013-02-28
2013-02,Saúde,0.026781538670316414,13,2013-02-28
2013-02,Tecnologia da Informação,0.07340884702179232,5,2013-02-28
