ticker,delta_selic_lag
BHGR3,-0.4602621569043233
ROMI3,-0.45387698690993633
RIAA3,-0.44119332229827385
AUTM3,-0.4282976192830588
FIQE3,-0.4257012665840296
ALPA4,-0.4234510173687478
RNEW11,-0.41705566808345446
HOOT4,-0.41239673011503764
SQIA3,-0.41152995485788363
WEST3,-0.40095057187698546
ANIM3,-0.3947190971141046
APER3,-0.39323357956650906
PFRM3,-0.38490727275305386
GMAT3,-0.3742414938912796
LUXM4,-0.3736934931768675
NGRD3,-0.36828420041853915
FTRX4,-0.368249400409989
HBTS5,-0.3665510629328357
PRML3,-0.34745278734138363
FHER3,-0.32945092232918954
RAPT4,-0.3243298206893849
CSUD3,-0.3173958870090813
LOGG3,-0.31552759897702104
LPSB3,-0.31100056211117505
TGMA3,-0.30561323706518506
PETZ3,-0.30061800344929107
BMGB4,-0.28778732022187986
BMEB4,-0.2851947481437833
BAUH4,-0.2834809374332368
SEDU3,-0.2730831956245994
ONCO3,-0.2705344290805565
KEPL3,-0.27029346056464704
MTRE3,-0.2701204301183223
PRNR3,-0.2573864334286218
EVEN3,-0.2563883103514542
PLPL3,-0.2530988376275391
GGBR4,-0.23709994500816092
JALL3,-0.22912252769199662
SOJA3,-0.2264482930041517
WHRL4,-0.2169671203932419
AZZA3,-0.20424367066755106
BPAC11,-0.19950119807044572
EMAE4,-0.18978372125628673
SLCE3,-0.18894344995371098
GEPA4,-0.1887669497851092
REDE3,-0.1885147481890822
DXCO3,-0.1857542080403118
CRUZ3,-0.18400363713167123
HBRE3,-0.18084709626954
MOVI3,-0.17064440393042193
MDNE3,-0.16127455063510288
GGPS3,-0.16019507713055814
BMTO4,-0.15959985728449053
VBBR3,-0.15561676913749428
DOHL4,-0.14943844839088327
CMIN3,-0.14495265919509026
RDNI3,-0.13902379698106707
BRAP4,-0.13857506060762895
SHOW3,-0.13657128172040567
NATU3,-0.1343291656886391
QUAL3,-0.12998022796799422
PTNT4,-0.12844341201312431
MEAL3,-0.12399965667119826
UCAS3,-0.12179134805191036
ENAT3,-0.11874647588779744
AGRO3,-0.11511715044706725
