variavel,lag,correlacao,subsetor
var_dolar,6,-0.11673573018574858,Energia Elétrica
ibc_var,0,0.1700431816366218,Energia Elétrica
ibc_var,1,-0.01669578828239719,Energia Elétrica
ibc_var,2,-0.08019806393018536,Energia Elétrica
ibc_var,3,-0.05321667090319639,Energia Elétrica
ibc_var,4,0.10000478137408639,Energia Elétrica
ibc_var,5,-0.009908292881878037,Energia Elétrica
ibc_var,6,0.003740175366325243,Energia Elétrica
delta_selic,0,-0.014812971849304931,Equipamentos
delta_selic,1,-0.06876264111769374,Equipamentos
delta_selic,2,-0.08337272947510034,Equipamentos
delta_selic,3,-0.06772920118571944,Equipamentos
delta_selic,4,-0.008145535799068756,Equipamentos
delta_selic,5,-0.00981800865582945,Equipamentos
delta_selic,6,-0.024184470087430403,Equipamentos
delta_ipca,0,-0.047484241470774874,Equipamentos
delta_ipca,1,0.013821464830454674,Equipamentos
delta_ipca,2,0.17166747896697634,Equipamentos
delta_ipca,3,-0.05954838848518939,Equipamentos
delta_ipca,4,-0.14395681187982165,Equipamentos
delta_ipca,5,0.017556903588884894,Equipamentos
delta_ipca,6,-0.09274912699584253,Equipamentos
var_dolar,0,-0.14327231894311568,Equipamentos
var_dolar,1,-0.17615532913313975,Equipamentos
var_dolar,2,0.06899766712066974,Equipamentos
var_dolar,3,0.10978532224738115,Equipamentos
var_dolar,4,0.04826759764933136,Equipamentos
var_dolar,5,0.09043861502732391,Equipamentos
var_dolar,6,0.044670236635124184,Equipamentos
ibc_var,0,0.18638905614211324,Equipamentos
ibc_var,1,0.08554740601573474,Equipamentos
ibc_var,2,0.0009811916804220431,Equipamentos
ibc_var,3,-0.023925350436604473,Equipamentos
ibc_var,4,-0.014800796535097792,Equipamentos
ibc_var,5,-0.010967951459058335,Equipamentos
ibc_var,6,-0.09847068698520094,Equipamentos
delta_selic,0,-0.1434483342289526,Exploração de Imóveis
delta_selic,1,-0.11575865893059178,Exploração de Imóveis
delta_selic,2,-0.06826328554106048,Exploração de Imóveis
delta_selic,3,-0.09371237659895902,Exploração de Imóveis
delta_selic,4,-0.101971431546222,Exploração de Imóveis
delta_selic,5,-0.08604691305636396,Exploração de Imóveis
delta_selic,6,-0.14004854930610883,Exploração de Imóveis
delta_ipca,0,0.005385880897151483,Exploração de Imóveis
delta_ipca,1,-0.015768507051915445,Exploração de Imóveis
delta_ipca,2,0.04939049227739275,Exploração de Imóveis
delta_ipca,3,-0.16102361632068793,Exploração de Imóveis
delta_ipca,4,0.01763153686358317,Exploração de Imóveis
delta_ipca,5,0.005513970278896624,Exploração de Imóveis
delta_ipca,6,0.2112837890982788,Exploração de Imóveis
var_dolar,0,-0.4963853945664455,Exploração de Imóveis
var_dolar,1,-0.12214466218777846,Exploração de Imóveis
var_dolar,2,-0.002927313980436338,Exploração de Imóveis
var_dolar,3,0.18959850976212198,Exploração de Imóveis
var_dolar,4,0.0665463619529485,Exploração de Imóveis
var_dolar,5,-0.03382794797478896,Exploração de Imóveis
var_dolar,6,-0.06578891299245035,Exploração de Imóveis
ibc_var,0,0.20491280606669632,Exploração de Imóveis
ibc_var,1,0.06307261933061273,Exploração de Imóveis
ibc_var,2,-0.0038236044481979674,Exploração de Imóveis
ibc_var,3,-0.025972922142260983,Exploração de Imóveis
ibc_var,4,0.03894584295722716,Exploração de Imóveis
ibc_var,5,0.02969489559070483,Exploração de Imóveis
ibc_var,6,0.0694438625578862,Exploração de Imóveis
delta_selic,0,-0.04266179117096526,Gás
delta_selic,1,-0.041588476489341,Gás
delta_selic,2,-0.04519041244369147,Gás
delta_selic,3,-0.044319877154530736,Gás
