ano_mes,segmento,ret_segmento,n_empresas,data
2010-07,Material Aeronáutico e de Defesa,0.21312809979008973,1,2010-07-31
2010-07,Material Rodoviário,0.06171129203280866,5,2010-07-31
2010-07,Medicamentos e Outros Produtos,0.03534116863952823,5,2010-07-31
2010-07,Minerais Metálicos,0.11507574018266542,3,2010-07-31
2010-07,"Motores , Compressores e Outros",0.05185090335526846,2,2010-07-31
2010-07,Máq. e Equip. Construção e Agrícolas,0.1016469228305672,1,2010-07-31
2010-07,Máq. e Equip. Industriais,0.0835410656792644,6,2010-07-31
2010-07,Outros,0.02773945682070944,2,2010-07-31
2010-07,Papel e Celulose,0.04723857347801319,1,2010-07-31
2010-07,Petroquímicos,0.003467574957482853,6,2010-07-31
2010-07,Produtos Diversos,0.05186422928832576,3,2010-07-31
2010-07,Produtos de Cuidado Pessoal,0.14930911234052457,1,2010-07-31
2010-07,Produtos de Limpeza,0.05413375708320167,1,2010-07-31
2010-07,Produtos para Construção,0.03172010790352542,2,2010-07-31
2010-07,Programas e Serviços,0.0030721439043241983,4,2010-07-31
2010-07,Químicos Diversos,0.013820129268397083,1,2010-07-31
2010-07,Seguradoras,0.03760987395699944,3,2010-07-31
2010-07,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.05018256464447768,5,2010-07-31
2010-07,Serviços Diversos,0.0037364889789270883,3,2010-07-31
2010-07,Serviços Educacionais,0.1871292633486902,3,2010-07-31
2010-07,Serviços Financeiros Diversos,0.04611482367450481,3,2010-07-31
2010-07,Serviços de Apoio e Armazenagem,-0.049596941139372186,1,2010-07-31
2010-07,Siderurgia,0.08393827700763104,5,2010-07-31
2010-07,Soc. Crédito e Financiamento,0.020101836859779385,2,2010-07-31
2010-07,"Tecidos, Vestuário e Calçados",0.13201081768894266,5,2010-07-31
2010-07,Telecomunicações,0.06599277384669922,1,2010-07-31
2010-07,Transporte Ferroviário,0.0363676441708749,1,2010-07-31
2010-07,Transporte Hidroviário,0.023543902879413423,2,2010-07-31
2010-07,Transporte Rodoviário,-0.013492032149777677,2,2010-07-31
2010-07,Utensílios Domésticos,0.2288415724288475,1,2010-07-31
2010-07,Vestuário,0.1323675033292774,3,2010-07-31
2010-07,Água e Saneamento,-0.015929824340820686,2,2010-07-31
2010-08,Acessórios,0.0,1,2010-08-31
2010-08,Agricultura,0.03953575973689231,3,2010-08-31
2010-08,Alimentos Diversos,0.05257844885121766,3,2010-08-31
2010-08,Aluguel de carros,0.006002612204536462,1,2010-08-31
2010-08,Armas e Munições,-0.1102160530723908,1,2010-08-31
2010-08,Artefatos de Cobre,-0.012379448982929198,1,2010-08-31
2010-08,Artefatos de Ferro e Aço,-0.006599669866732698,6,2010-08-31
2010-08,Automóveis e Motocicletas,0.012796442042998457,2,2010-08-31
2010-08,Açucar e Alcool,0.0688262849784611,1,2010-08-31
2010-08,Bancos,0.030979681371684407,22,2010-08-31
2010-08,Bicicletas,0.23901643046407717,1,2010-08-31
2010-08,Brinquedos e Jogos,0.11506270238326549,1,2010-08-31
2010-08,Calçados,0.025982998708625905,3,2010-08-31
2010-08,Carnes e Derivados,-0.034138503848452295,5,2010-08-31
2010-08,Computadores e Equipamentos,0.017022670375168802,3,2010-08-31
2010-08,Eletrodomésticos,0.031597127936916033,1,2010-08-31
2010-08,Embalagens,-0.02860811975604244,2,2010-08-31
